param N := 5;

param travel_time
    :   1   2   3   4   5   :=
    1   0   1   2   3   4
    2   1   0   5   6   7
    3   2   5   0   8   9
    4   3   6   8   0   10
    5   4   7   9   10  0
;

param desired
    :   1   2   3   4   5   :=
    1   0   0.5 0.5 0.5 0.5
    2   0.5 0   0.5 0.5 0.5
    3   0.5 0.5 0   0.5 0.5
    4   0.5 0.5 0.5 0   0.5
    5   0.5 0.5 0.5 0.5 0
;

# param travel_time
#     :   1   2   3   4   5   6   7   8   :=
#     1   0   5   999 6   999 4   999 7
#     2   5   0   2   4   3   999 999 999
#     3   999 2   0   1   999 999 999 999
#     4   6   4   1   0   7   999 999 999
#     5   999 3   999 7   0   999 6   4
#     6   4   999 999 999 999 0   3   999
#     7   999 999 999 999 6   3   0   2
#     8   7   999 999 999 4   999 2   0
# ;

# param travel_time
#     :   1   2   3   4   5   6   7   8   9   10   :=
#     1   0   1   1   1   1   1   1   1   1   1
#     2   1   0   1   1   1   1   1   1   1   1
#     3   1   1   0   1   1   1   1   1   1   1
#     4   1   1   1   0   1   1   1   1   1   1
#     5   1   1   1   1   0   1   1   1   1   1
#     6   1   1   1   1   1   0   1   1   1   1
#     7   1   1   1   1   1   1   0   1   1   1
#     8   1   1   1   1   1   1   1   0   1   1
#     9   1   1   1   1   1   1   1   1   0   1
#     10  1   1   1   1   1   1   1   1   1   0
# ;
